date,id,daily_budget,spend,impressions,clicks,installs,gross_revenue_iap_cohort,net_revenue_iap_cohort,purchases_cohort,purchasers_cohort,ad_revenue_cohort,net_revenue_cohort,net_revenue_d0,net_revenue_d1,net_revenue_d2,net_revenue_d3,net_revenue_d4,net_revenue_d5,net_revenue_d6,net_revenue_d7,net_revenue_d8,net_revenue_d9,net_revenue_d10,net_revenue_d11,net_revenue_d12,net_revenue_d13,net_revenue_d14,net_revenue_d15,net_revenue_d16,net_revenue_d17,net_revenue_d18,net_revenue_d19,net_revenue_d20,net_revenue_d21,net_revenue_d22,net_revenue_d23,net_revenue_d24,net_revenue_d25,net_revenue_d26,net_revenue_d27,net_revenue_d28,net_revenue_d56,net_revenue_d84,net_revenue_d112,net_revenue_d196,net_revenue_d280,net_revenue_d364,purchases_d0,purchases_d1,purchases_d2,purchases_d3,purchases_d4,purchases_d5,purchases_d6,purchases_d7,purchases_d8,purchases_d9,purchases_d10,purchases_d11,purchases_d12,purchases_d13,purchases_d14,purchases_d15,purchases_d16,purchases_d17,purchases_d18,purchases_d19,purchases_d20,purchases_d21,purchases_d22,purchases_d23,purchases_d24,purchases_d25,purchases_d26,purchases_d27,purchases_d28,purchases_d56,purchases_d84,purchases_d112,purchases_d196,purchases_d280,purchases_d364,purchasers_d0,purchasers_d1,purchasers_d2,purchasers_d3,purchasers_d4,purchasers_d5,purchasers_d6,purchasers_d7,purchasers_d8,purchasers_d9,purchasers_d10,purchasers_d11,purchasers_d12,purchasers_d13,purchasers_d14,purchasers_d15,purchasers_d16,purchasers_d17,purchasers_d18,purchasers_d19,purchasers_d20,purchasers_d21,purchasers_d22,purchasers_d23,purchasers_d24,purchasers_d25,purchasers_d26,purchasers_d27,purchasers_d28,purchasers_d56,purchasers_d84,purchasers_d112,purchasers_d280,purchasers_d364
2020-04-10,89704469509703517,6678,61.72,18209,209,133,134.77,79.7342,23,12,48.8353,128.5696,28.026,62.0434,64.9002,66.4042,71.2644,72.5088,73.7804,75.4317,76.6488,77.5581,78.1711,79.1023,80.4325,81.5438,82.5131,83.0712,84.1095,86.953,88.0234,88.9743,90.5406,91.3297,92.3051,93.2762,99.7887,100.4273,100.9528,102.0756,109.0231,115.8288,0.0,0.1704,0.0,0.0,0.0,9.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0
2020-05-05,89708853318503517,12490,126.51,11528,114,73,647.55,453.6735,45,13,53.6928,507.3663,144.5492,210.986,213.3123,218.7179,241.3222,242.8863,254.7999,255.5048,291.4415,309.8573,310.6465,381.9187,389.5808,397.4321,398.328,399.2389,400.1569,401.1242,401.7658,416.8372,417.6552,418.5724,419.478,469.3314,470.1952,470.8147,471.4184,471.8788,472.195,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,23.0,24.0,27.0,27.0,30.0,30.0,31.0,34.0,34.0,36.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,41.0,41.0,41.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0
2019-08-08,89702657509703517,1729,20.19,4163,30,24,100.82,70.6345,18,3,3.9961,74.6306,3.9442,11.6852,11.7556,11.7556,11.8184,11.8184,11.8898,14.1666,14.1666,14.584,14.7421,14.9309,15.1765,15.2961,15.4174,15.4174,15.4174,15.4174,15.4621,15.5799,22.6646,22.6989,22.6989,22.6989,22.7371,22.7371,22.7371,22.7371,22.7371,23.1677,23.2563,23.3614,23.4175,74.0784,50.6609,1.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,18.0,11.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
2020-01-13,89701676509703517,9708,104.75,17771,342,191,794.2,556.4165,80,20,37.6408,594.0573,31.6254,39.9711,51.2521,68.4234,161.7561,216.3142,217.7448,236.3893,247.7852,297.7106,298.556,299.5927,300.8265,316.1227,323.8563,324.6118,325.6426,340.2362,340.9712,390.5554,394.5805,395.5464,396.2886,410.985,415.7348,416.4913,423.6956,423.8035,424.6351,473.5486,473.8334,473.8563,0.0,0.0,0.0,8.0,9.0,15.0,18.0,27.0,41.0,41.0,45.0,47.0,51.0,51.0,51.0,51.0,52.0,53.0,53.0,53.0,54.0,54.0,59.0,60.0,60.0,60.0,61.0,63.0,63.0,65.0,65.0,66.0,70.0,70.0,70.0,0.0,0.0,0.0,7.0,8.0,12.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0
2020-01-29,89701676509703517,12500,119.86,15041,263,137,151.69,106.271,31,12,48.2903,154.5614,57.1291,66.508,83.6236,85.219,86.7208,87.1255,91.1802,98.5461,98.7414,99.9275,100.2724,107.742,118.6942,118.9137,119.1512,119.2591,119.6304,119.9245,120.4373,120.796,121.1363,121.4294,121.84,122.1433,122.4312,122.775,123.1141,123.4369,123.7122,132.7945,138.1643,143.4948,0.0,0.0,0.0,13.0,18.0,22.0,23.0,24.0,24.0,25.0,26.0,26.0,27.0,27.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,5.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0
2019-10-07,89701676509703517,3052,30.91,3724,44,27,95.89,67.1566,11,6,19.9134,87.0699,21.2041,29.2898,36.7207,37.0289,37.3601,37.7329,52.1022,59.2357,62.8041,66.4499,66.9685,67.1493,67.5122,67.96,68.3371,68.5924,68.887,69.3752,69.802,70.2686,70.5403,70.5403,70.7594,70.9011,70.9011,70.9505,70.9505,71.103,71.2804,72.2038,82.3473,86.0803,87.0699,0.0,0.0,3.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,0.0
2019-12-06,89701377223703517,3819,34.92,18073,349,177,340.64,224.8148,36,9,9.7899,234.6046,28.1555,30.3107,62.9446,64.1359,64.684,65.1399,65.5883,72.594,72.688,72.8026,72.8731,72.9627,72.9775,72.9874,79.51,79.8038,79.843,79.934,79.9999,80.0336,80.0501,80.1545,80.1781,80.1901,80.2241,80.2241,80.2498,80.2593,80.2593,87.6938,87.7568,87.7907,0.0025,0.0025,0.1507,5.0,6.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,0.0,0.0,0.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,0.0,0.0
2019-12-09,89701457509703517,7280,79.47,9798,163,80,118.81,83.2383,19,7,49.4623,132.7006,18.9773,68.0919,84.5285,88.3986,96.5495,98.0772,99.7675,101.1566,102.5191,104.1142,104.4824,105.5143,105.7811,107.0361,107.6147,108.2631,108.6063,108.8243,109.3744,109.7514,110.2366,110.8594,111.6915,111.8884,112.2989,113.2283,113.557,114.1085,114.3679,125.0886,127.3601,127.7542,0.0,0.0,0.0,2.0,10.0,16.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,2.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0
2020-02-03,89708230609703517,5666,55.66,68196,1165,549,211.75,144.2924,27,14,25.9435,170.236,74.5275,78.9347,96.5128,104.7234,113.0142,121.5518,123.6197,129.0062,136.4593,136.8598,137.3137,137.5455,137.8412,138.0238,138.3481,138.4806,138.7253,138.9298,139.1679,139.2671,139.3023,139.4004,139.4602,139.5045,139.5146,139.5195,139.5388,139.545,139.5494,153.791,153.9107,153.9043,0.0618,0.286,0.2243,11.0,13.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,0.0,0.0,0.0,6.0,8.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
2019-09-12,89708853318503517,2129,21.77,2000,24,17,48.92,34.2734,8,3,17.4498,51.7232,8.2466,8.3396,8.7975,8.978,8.9939,9.2638,9.61,9.6841,9.6841,10.0161,10.0161,10.5506,10.8579,10.8579,10.8579,10.8579,10.8579,10.8579,10.8579,10.8579,10.9245,11.2878,11.2878,11.2878,11.2878,11.2878,11.2878,11.2878,11.2878,11.4672,11.4672,11.8276,12.0578,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
